method,rl_seed,update,overall_success,category_macro_success,run_id
Outcome-only GRPO,260714777,0,0.042,0.061,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,5,0.104,0.097,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,10,0.146,0.165,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,15,0.146,0.179,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,20,0.104,0.100,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,25,0.167,0.110,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,30,0.188,0.148,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,35,0.167,0.133,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
Outcome-only GRPO,260714777,40,0.229,0.195,a1bacf8d-0236-44dc-be84-0fd681ffbf3e
SEED,260714777,0,0.042,0.067,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,5,0.083,0.046,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,10,0.021,0.028,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,15,0.125,0.167,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,20,0.146,0.135,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,25,0.146,0.088,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,30,0.146,0.121,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,35,0.188,0.150,43c2689e-c47c-4f22-bad1-9abd7783ff35
SEED,260714777,40,0.208,0.181,43c2689e-c47c-4f22-bad1-9abd7783ff35
Outcome-only GRPO,260714778,0,0.083,0.197,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,5,0.104,0.102,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,10,0.229,0.228,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,15,0.188,0.140,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,20,0.188,0.148,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,25,0.208,0.151,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,30,0.104,0.106,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,35,0.083,0.067,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
Outcome-only GRPO,260714778,40,0.188,0.198,0fbab25f-2c01-415f-a6f6-1e0d1160c6ba
SEED,260714778,0,0.062,0.188,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,5,0.146,0.139,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,10,0.146,0.161,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,15,0.167,0.116,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,20,0.146,0.123,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,25,0.104,0.083,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,30,0.083,0.083,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,35,0.062,0.071,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
SEED,260714778,40,0.083,0.089,1a09c408-a0cd-457e-beb8-d4ad3fcb10d1
